,Product Details,ASIN,Brand,Price,Sales,Revenue,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
47,"Vari Essential Electric Standing Desk 48"" x 24"" - Height Adjustable Sit to Stand Desk for The Home Office - Solid Top Desktop with Stable T-Style Legs (Black)",B09F1DJ7DT,Vari,499.99,926.0,462990.74,19169.0,,1,4.9,822.0,6,16.0,Vari.,Home & Kitchen,,MFN,,,8/19/2021
48,"Electric Height Adjustable Standing Desk, 48 x 24 Inch Stand Up Desk Workstation with Desktop (03, Black)",B08SW4MC4W,BEASHINY,169.99,170.0,28898.3,17720.0,64.17,1,4.5,84.0,8,6.0,BEASHINY Direct,Office Products,Medium Oversize,FBA,16.0x51.0x8.0,71.0,1/13/2021
49,"VIVO Electric Height Adjustable 60 x 24 inch Memory Stand Up Desk, Black Solid One-Piece Table Top, Black Frame, Standing Workstation with Preset Controller, DESK-KIT-1B6B",B07V6ZSHF4,VIVO,309.99,334.0,103536.66,11373.0,76.06,1,4.7,1117.0,8,-865.0,V I V O,Office Products,Small Oversize,MFN,11.3x45.0x8.8,56.0,7/12/2019
50,"SDADI 2 Inches Carpet Wheels Mobile Standing Desk Stand Up Desk Height Adjustable Home Office Desk with Standing and Seating 2 Modes 3.0 Edition, Dark Grain S001WFDT",B01B9OO010,SDADI,69.99,587.0,41084.13,53957.0,29.42,5,4.4,2231.0,9,33.0,Sdadi,Home & Kitchen,Small Oversize,FBA,23.2x27.9x4.4,27.05,1/30/2016
51,"FEZIBO Dual Motor Height Adjustable Electric Standing Desk with Keyboard Tray, 48 x 24 Inch Sit Stand Table with Splice Board, White Frame/Natural and White Top",B08B4M3NV6,FEZIBO,299.99,626.0,187793.74,16106.0,81.01,4,4.3,3458.0,9,-106.0,Tyhoe,Home & Kitchen,Medium Oversize,FBA,16.0x32.0x7.0,77.0,6/13/2020
52,"FENGE Height Adjustable Standing Desk Converter 36"" Wide Sit to Stand Up Desk with Organizer Area for Dual Monitors SD360001WB",B07ZH3SGCZ,Fenge,104.99,222.0,23307.78,28649.0,41.13,1,4.7,276.0,6,8.0,Dropship Shopping Centre,Office Products,Small Oversize,MFN,22.5x39.5x7.0,31.8,10/23/2019
53,"SHW Memory Preset Electric Height Adjustable Standing Desk, 48 x 24 Inches, Black",B07MBR8N89,SHW,228.87,5041.0,1153733.67,43504.0,67.39,4,4.5,2223.0,6,-11273.0,EPFamily Direct,Home & Kitchen,Small Oversize,FBA,16.7x48.0x6.7,68.34,1/4/2019
54,"Flexispot EN1 Electric White Stand Up Desk Workstation with 48 x 30 Inches Whole-Piece Desktop Ergonomic Memory Controller Adjustable Height Standing Desk Primo(White Frame + 48"" White Desktop)",B07W8W8XKV,FLEXISPOT,299.99,1110.0,332988.9,21270.0,94.27,2,4.6,2277.0,9,38.0,FlexiSpot,Home & Kitchen,,MFN,,111.0,8/14/2019
55,"Autonomous Smart Hybrid Dual Motor Electric Standing Desk Frame Classic Top, 28""-47"" Height Range, 39""-70"" Length Range, White-Black",B07ZH792CQ,Autonomous,870.99,222.0,193359.78,342648.0,152.47,2,4.7,82.0,5,5.0,Amazon,Home & Kitchen,Medium Oversize,AMZ,13.0x43.0x10.0,111.0,
56,"FAMISKY Standing Desk Dual Motors, Adjustable Height Electric Stand up Desk with Footrest, 55 x 24 Inches Sit Stand Home Office Desk, Ergonomic Workstation Black Steel Frame/Rustic Brown Wood Top",B08HMSJT62,FAMISKY,329.99,297.0,98007.03,56442.0,77.88,2,4.4,269.0,8,11.0,EleTab,Home & Kitchen,Small Oversize,FBA,16.5x57.5x8.3,69.22,9/8/2020
57,"($) Amazon Basics Classic Home Office Computer Desk With Shelves - 29.5 x 19.6 x 35.5 Inches, Black",B07PVL2N3D,Amazon Basics,43.59,8568.0,373479.12,778.0,25.69,5,4.5,5535.0,6,444.0,Amazon,Home & Kitchen,Small Oversize,AMZ,21.4x40.6x4.5,25.9,6/25/2019
58,"($) SHW Memory Preset Electric Height Adjustable Standing Desk, 48 x 24 Inches, Black",B07MBR8N89,SHW,228.87,5041.0,1153733.67,43504.0,67.39,4,4.5,2223.0,6,-11273.0,EPFamily Direct,Home & Kitchen,Small Oversize,FBA,16.7x48.0x6.7,68.34,1/4/2019
59,"($) FEZIBO Crank Adjustable Height Standing Desk, 48 x 24 Inches Manual Stand up Desk, Sit Stand Desk with Handle, Home Office Desk with Walnut Top and Black Frame",B092JQL1MV,FEZIBO,159.99,296.0,47357.04,104621.0,52.42,1,4.1,6.0,8,4.0,FEZIBO,Home & Kitchen,Small Oversize,MFN,14.0x49.0x7.0,53.0,4/14/2021
